# LVM fiducial metrology file
#
# The purpose of this file is to give fiducial positions relative to the center of an IFU
# for fibers in a given bundle.  The fiber numbering scheme here is clockwise starting
# from the center, incrementing along the vertical x=0 axis, using the Excel IFU fiber map
# schematic as guide. The data structure is as follows.
#
# Data table entries:
# 1) fiberid: Fiber number within the bundle.
# 2) ringid: Ring id number of the fiber
# 3) ringfnum: Fiber number within a ring, starting from 1, at the vertical x=0 position
# 4) raoff: The ra offset of the fiber in arcsec relative to the ifu center
# 5) decoff: The dec offset of the fiber in arcsec relative to the ifu center
#
# raoff and decoff are both given in arcseconds, so they should be added to the central pointing to get
# the effective on-sky coordinates of the fiber
# E.g., if RA=213.3423D and DEC=52.3234D in decimal degrees (ALWAYS use double precision here!)
# then RAfiber=RA+raoff/3600.D/cos(DEC*!DPI/180.)    DECfiber=DEC+decoff/3600.D
#
# Assumes that fiberdiameter=35.3 arcsec
#

fiberid,ringid,ringfnum,raoff,decoff
257,10,40,288.3863,55.5
258,10,41,288.3862,-166.5
259,10,42,288.3862,-129.5
260,10,43,288.3862,-92.5
261,10,44,288.3862,92.5
262,10,45,288.3862,129.5
263,10,46,288.3862,166.5
264,10,47,256.3433,185.0
265,10,48,224.3004,203.4999
266,10,49,192.2575,221.9999
267,10,50,160.2146,240.4999
268,10,51,128.1716,258.9999
269,10,52,96.1287,277.4998
270,10,53,64.0858,295.9998
271,10,54,32.0429,314.4998
272,11,1,-0.0,369.9996
273,11,2,-32.0429,351.4997
274,11,3,-64.0858,332.9997
275,11,4,-96.1287,314.4998
276,11,5,-128.1716,295.9998
277,11,6,-160.2145,277.4998
278,11,7,-192.2574,258.9999
279,11,8,-224.3003,240.4999
280,11,9,-256.3432,221.9999
281,11,10,-288.3861,203.4999
282,11,11,-320.4291,148.0
283,11,12,-320.4291,111.0
284,11,13,-320.4291,74.0
285,11,14,-320.4291,37.0
286,11,15,-320.4291,0.0
287,11,16,-320.4291,-37.0
288,11,17,-320.4291,-74.0
289,11,18,-320.4291,-111.0
290,11,19,-320.4291,-148.0
291,11,20,-320.429,185.0
292,11,21,-320.429,-185.0
293,11,22,-288.3861,-203.4999
294,11,23,-256.3432,-221.9999
295,11,24,-224.3003,-240.4999
296,11,25,-192.2574,-258.9999
297,11,26,-160.2145,-277.4998
298,11,27,-128.1716,-295.9998
299,11,28,-96.1287,-314.4998
300,11,29,-64.0858,-332.9997
301,11,30,-32.0429,-351.4997
302,11,31,-0.0,-369.9996
303,11,32,32.0429,-351.4997
304,11,33,64.0858,-332.9997
305,11,34,96.1287,-314.4998
306,11,35,128.1716,-295.9998
307,11,36,160.2145,-277.4998
308,11,37,192.2574,-258.9999
309,11,38,224.3003,-240.4999
310,11,39,256.3432,-221.9999
311,11,40,288.3861,-203.4999
312,11,41,320.4291,-148.0
313,11,42,320.4291,-111.0
314,11,43,320.4291,-74.0
315,11,44,320.4291,-37.0
316,11,45,320.4291,0.0
317,11,46,320.4291,37.0
318,11,47,320.4291,74.0
319,11,48,320.4291,111.0
320,11,49,320.4291,148.0
321,11,50,320.429,-185.0
322,11,51,320.429,185.0
323,11,52,288.3861,203.4999
324,11,53,256.3432,221.9999
325,11,54,224.3003,240.4999
326,11,55,192.2574,258.9999
327,11,56,160.2145,277.4998
328,11,57,128.1716,295.9998
329,11,58,96.1287,314.4998
330,11,59,64.0858,332.9997
331,11,60,32.0429,351.4997
332,12,1,-0.0,406.9995
333,12,2,-32.0429,388.4995
334,12,3,-64.0858,369.9996
335,12,4,-96.1287,351.4997
336,12,5,-128.1716,332.9997
337,12,6,-160.2145,314.4998
338,12,7,-192.2574,295.9998
339,12,8,-224.3003,277.4998
340,12,9,-256.3432,258.9999
341,12,10,-288.3861,240.4999
342,12,11,-320.429,221.9999
343,12,12,-352.472,92.5
344,12,13,-352.472,55.5
345,12,14,-352.472,18.5
346,12,15,-352.472,-18.5
347,12,16,-352.472,-55.5
348,12,17,-352.472,-92.5
349,12,18,-352.4719,166.5
350,12,19,-352.4719,129.5
351,12,20,-352.4719,-129.5
352,12,21,-352.4719,-166.5
353,12,22,-352.4718,203.4999
354,12,23,-352.4718,-203.4999
355,12,24,-320.429,-221.9999
356,12,25,-288.3861,-240.4999
357,12,26,-256.3432,-258.9999
358,12,27,-224.3003,-277.4998
359,12,28,-192.2574,-295.9998
360,12,29,-160.2145,-314.4998
361,12,30,-128.1716,-332.9997
362,12,31,-96.1287,-351.4997
363,12,32,-64.0858,-369.9996
364,12,33,-32.0429,-388.4995
365,12,34,-0.0,-406.9995
366,12,35,32.0429,-388.4995
367,12,36,64.0858,-369.9996
368,12,37,96.1287,-351.4997
369,12,38,128.1716,-332.9997
370,12,39,160.2145,-314.4998
371,12,40,192.2574,-295.9998
372,12,41,224.3003,-277.4998
373,12,42,256.3432,-258.9999
374,12,43,288.3861,-240.4999
375,12,44,320.429,-221.9999
376,12,45,352.472,-92.5
377,12,46,352.472,-55.5
378,12,47,352.472,-18.5
379,12,48,352.472,18.5
380,12,49,352.472,55.5
381,12,50,352.472,92.5
382,12,51,352.4719,-166.5
383,12,52,352.4719,-129.5
384,12,53,352.4719,129.5
385,12,54,352.4719,166.5
386,12,55,352.4718,-203.4999
387,12,56,352.4718,203.4999
388,12,57,320.429,221.9999
389,12,58,288.3861,240.4999
390,12,59,256.3432,258.9999
391,12,60,224.3003,277.4998
392,12,61,192.2574,295.9998
393,12,62,160.2145,314.4998
394,12,63,128.1716,332.9997
395,12,64,96.1287,351.4997
396,12,65,64.0858,369.9996
397,12,66,32.0429,388.4995
398,13,1,-0.0,443.9993
399,13,2,-32.0429,425.4994
400,13,3,-64.0858,406.9995
401,13,4,-96.1286,388.4995
402,13,5,-128.1715,369.9996
403,13,6,-160.2144,351.4997
404,13,7,-192.2573,332.9997
405,13,8,-224.3002,314.4998
406,13,9,-256.3431,295.9998
407,13,10,-288.386,277.4998
408,13,11,-320.4289,258.9999
409,13,12,-352.4718,240.4999
410,13,13,-384.5148,111.0
411,13,14,-384.5148,74.0
412,13,15,-384.5148,37.0
413,13,16,-384.5148,0.0
414,13,17,-384.5148,-37.0
415,13,18,-384.5148,-74.0
416,13,19,-384.5148,-111.0
417,13,20,-384.5147,185.0
418,13,21,-384.5147,148.0
419,13,22,-384.5147,-148.0
420,13,23,-384.5147,-185.0
421,13,24,-384.5146,221.9999
422,13,25,-384.5146,-221.9999
423,13,26,-352.4718,-240.4999
424,13,27,-320.4289,-258.9999
425,13,28,-288.386,-277.4998
426,13,29,-256.3431,-295.9998
427,13,30,-224.3002,-314.4998
428,13,31,-192.2573,-332.9997
429,13,32,-160.2144,-351.4997
430,13,33,-128.1715,-369.9996
431,13,34,-96.1286,-388.4995
432,13,35,-64.0858,-406.9995
433,13,36,-32.0429,-425.4994
434,13,37,-0.0,-443.9993
435,13,38,32.0429,-425.4994
436,13,39,64.0858,-406.9995
437,13,40,96.1286,-388.4995
438,13,41,128.1715,-369.9996
439,13,42,160.2144,-351.4997
440,13,43,192.2573,-332.9997
441,13,44,224.3002,-314.4998
442,13,45,256.3431,-295.9998
443,13,46,288.386,-277.4998
444,13,47,320.4289,-258.9999
445,13,48,352.4718,-240.4999
446,13,49,384.5148,-111.0
447,13,50,384.5148,-74.0
448,13,51,384.5148,-37.0
449,13,52,384.5148,0.0
450,13,53,384.5148,37.0
451,13,54,384.5148,74.0
452,13,55,384.5148,111.0
453,13,56,384.5147,-185.0
454,13,57,384.5147,-148.0
455,13,58,384.5147,148.0
456,13,59,384.5147,185.0
457,13,60,384.5146,-221.9999
458,13,61,384.5146,221.9999
459,13,62,352.4718,240.4999
460,13,63,320.4289,258.9999
461,13,64,288.386,277.4998
462,13,65,256.3431,295.9998
463,13,66,224.3002,314.4998
464,13,67,192.2573,332.9997
465,13,68,160.2144,351.4997
466,13,69,128.1715,369.9996
467,13,70,96.1286,388.4995
468,13,71,64.0858,406.9995
469,13,72,32.0429,425.4994
470,14,1,-0.0,480.9991
471,14,2,-32.0429,462.4992
472,14,3,-64.0857,443.9993
473,14,4,-96.1286,425.4994
474,14,5,-128.1715,406.9995
475,14,6,-160.2144,388.4995
476,14,7,-192.2573,369.9996
477,14,8,-224.3002,351.4997
478,14,9,-256.3431,332.9997
479,14,10,-288.3859,314.4998
480,14,11,-320.4288,295.9998
481,14,12,-352.4717,277.4998
482,14,13,-384.5145,258.9999
483,14,14,-416.5577,18.5
484,14,15,-416.5577,-18.5
485,14,16,-416.5576,129.5
486,14,17,-416.5576,92.5
487,14,18,-416.5576,55.5
488,14,19,-416.5576,-55.5
489,14,20,-416.5576,-92.5
490,14,21,-416.5576,-129.5
491,14,22,-416.5575,203.4999
492,14,23,-416.5575,166.5
493,14,24,-416.5575,-166.5
494,14,25,-416.5575,-203.4999
495,14,26,-416.5574,240.4999
496,14,27,-416.5574,-240.4999
497,14,28,-384.5145,-258.9999
498,14,29,-352.4717,-277.4998
499,14,30,-320.4288,-295.9998
500,14,31,-288.3859,-314.4998
501,14,32,-256.3431,-332.9997
502,14,33,-224.3002,-351.4997
503,14,34,-192.2573,-369.9996
504,14,35,-160.2144,-388.4995
505,14,36,-128.1715,-406.9995
506,14,37,-96.1286,-425.4994
507,14,38,-64.0857,-443.9993
508,14,39,-32.0429,-462.4992
509,14,40,-0.0,-480.9991
510,14,41,32.0429,-462.4992
511,14,42,64.0857,-443.9993
512,14,43,96.1286,-425.4994
513,14,44,128.1715,-406.9995
514,14,45,160.2144,-388.4995
515,14,46,192.2573,-369.9996
516,14,47,224.3002,-351.4997
517,14,48,256.3431,-332.9997
518,14,49,288.3859,-314.4998
519,14,50,320.4288,-295.9998
520,14,51,352.4717,-277.4998
521,14,52,384.5145,-258.9999
522,14,53,416.5577,-18.5
523,14,54,416.5577,18.5
524,14,55,416.5576,-129.5
525,14,56,416.5576,-92.5
526,14,57,416.5576,-55.5
527,14,58,416.5576,55.5
528,14,59,416.5576,92.5
529,14,60,416.5576,129.5
530,14,61,416.5575,-203.4999
531,14,62,416.5575,-166.5
532,14,63,416.5575,166.5
533,14,64,416.5575,203.4999
534,14,65,416.5574,-240.4999
535,14,66,416.5574,240.4999
536,14,67,384.5145,258.9999
537,14,68,352.4717,277.4998
538,14,69,320.4288,295.9998
539,14,70,288.3859,314.4998
540,14,71,256.3431,332.9997
541,14,72,224.3002,351.4997
542,14,73,192.2573,369.9996
543,14,74,160.2144,388.4995
544,14,75,128.1715,406.9995
545,14,76,96.1286,425.4994
546,14,77,64.0857,443.9993
547,14,78,32.0429,462.4992
548,15,1,-0.0,517.9989
549,15,2,-32.0428,499.499
550,15,3,-64.0857,480.9991
551,15,4,-96.1286,462.4992
552,15,5,-128.1714,443.9993
553,15,6,-160.2143,425.4994
554,15,7,-192.2572,406.9995
555,15,8,-224.3001,388.4995
556,15,9,-256.343,369.9996
557,15,10,-288.3859,351.4997
558,15,11,-320.4287,332.9997
559,15,12,-352.4716,314.4998
560,15,13,-384.5144,295.9998
561,15,14,-416.5573,277.4998
562,15,15,-448.6005,0.0
563,15,16,-448.6004,111.0
564,15,17,-448.6004,74.0
565,15,18,-448.6004,37.0
566,15,19,-448.6004,-37.0
567,15,20,-448.6004,-74.0
568,15,21,-448.6004,-111.0
569,15,22,-448.6003,185.0
570,15,23,-448.6003,148.0
571,15,24,-448.6003,-148.0
572,15,25,-448.6003,-185.0
573,15,26,-448.6002,221.9999
574,15,27,-448.6002,-221.9999
575,15,28,-448.6001,258.9999
576,15,29,-448.6001,-258.9999
577,15,30,-416.5573,-277.4998
578,15,31,-384.5144,-295.9998
579,15,32,-352.4716,-314.4998
580,15,33,-320.4287,-332.9997
581,15,34,-288.3859,-351.4997
582,15,35,-256.343,-369.9996
583,15,36,-224.3001,-388.4995
584,15,37,-192.2572,-406.9995
585,15,38,-160.2143,-425.4994
586,15,39,-128.1714,-443.9993
587,15,40,-96.1286,-462.4992
588,15,41,-64.0857,-480.9991
589,15,42,-32.0428,-499.499
590,15,43,-0.0,-517.9989
591,15,44,32.0428,-499.499
592,15,45,64.0857,-480.9991
593,15,46,96.1286,-462.4992
594,15,47,128.1714,-443.9993
595,15,48,160.2143,-425.4994
596,15,49,192.2572,-406.9995
597,15,50,224.3001,-388.4995
598,15,51,256.343,-369.9996
599,15,52,288.3859,-351.4997
600,15,53,320.4287,-332.9997
601,15,54,352.4716,-314.4998
602,15,55,384.5144,-295.9998
603,15,56,416.5573,-277.4998
604,15,57,448.6005,0.0
605,15,58,448.6004,-111.0
606,15,59,448.6004,-74.0
607,15,60,448.6004,-37.0
608,15,61,448.6004,37.0
609,15,62,448.6004,74.0
610,15,63,448.6004,111.0
611,15,64,448.6003,-185.0
612,15,65,448.6003,-148.0
613,15,66,448.6003,148.0
614,15,67,448.6003,185.0
615,15,68,448.6002,-221.9999
616,15,69,448.6002,221.9999
617,15,70,448.6001,-258.9999
618,15,71,448.6001,258.9999
619,15,72,416.5573,277.4998
620,15,73,384.5144,295.9998
621,15,74,352.4716,314.4998
622,15,75,320.4287,332.9997
623,15,76,288.3859,351.4997
624,15,77,256.343,369.9996
625,15,78,224.3001,388.4995
626,15,79,192.2572,406.9995
627,15,80,160.2143,425.4994
628,15,81,128.1714,443.9993
629,15,82,96.1286,462.4992
630,15,83,64.0857,480.9991
631,15,84,32.0428,499.499
632,16,1,-0.0,554.9987
633,16,2,-32.0428,536.4988
634,16,3,-64.0857,517.9989
635,16,4,-96.1285,499.499
636,16,5,-128.1714,480.9991
637,16,6,-160.2143,462.4992
638,16,7,-192.2571,443.9993
639,16,8,-224.3,425.4994
640,16,9,-256.3429,406.9995
641,16,10,-288.3858,388.4995
642,16,11,-320.4286,369.9996
643,16,12,-352.4715,351.4997
644,16,13,-384.5143,332.9997
645,16,14,-416.5572,314.4998
646,16,15,-448.6,295.9998
647,16,16,-480.6432,92.5
648,16,17,-480.6432,55.5
649,16,18,-480.6432,18.5
650,16,19,-480.6432,-18.5
651,16,20,-480.6432,-55.5
652,16,21,-480.6432,-92.5
653,16,22,-480.6431,166.5
654,16,23,-480.6431,129.5
655,16,24,-480.6431,-129.5
656,16,25,-480.6431,-166.5
657,16,26,-480.643,203.4999
658,16,27,-480.643,-203.4999
659,16,28,-480.6429,240.4999
660,16,29,-480.6429,-240.4999
661,16,30,-480.6428,277.4998
662,16,31,-480.6428,-277.4998
663,16,32,-448.6,-295.9998
664,16,33,-416.5572,-314.4998
665,16,34,-384.5143,-332.9997
666,16,35,-352.4715,-351.4997
667,16,36,-320.4286,-369.9996
668,16,37,-288.3858,-388.4995
669,16,38,-256.3429,-406.9995
670,16,39,-224.3,-425.4994
671,16,40,-192.2571,-443.9993
672,16,41,-160.2143,-462.4992
673,16,42,-128.1714,-480.9991
674,16,43,-96.1285,-499.499
675,16,44,-64.0857,-517.9989
676,16,45,-32.0428,-536.4988
677,16,46,-0.0,-554.9987
678,16,47,32.0428,-536.4988
679,16,48,64.0857,-517.9989
680,16,49,96.1285,-499.499
681,16,50,128.1714,-480.9991
682,16,51,160.2143,-462.4992
683,16,52,192.2571,-443.9993
684,16,53,224.3,-425.4994
685,16,54,256.3429,-406.9995
686,16,55,288.3858,-388.4995
687,16,56,320.4286,-369.9996
688,16,57,352.4715,-351.4997
689,16,58,384.5143,-332.9997
690,16,59,416.5572,-314.4998
691,16,60,448.6,-295.9998
692,16,61,480.6432,-92.5
693,16,62,480.6432,-55.5
694,16,63,480.6432,-18.5
695,16,64,480.6432,18.5
696,16,65,480.6432,55.5
697,16,66,480.6432,92.5
698,16,67,480.6431,-166.5
699,16,68,480.6431,-129.5
700,16,69,480.6431,129.5
701,16,70,480.6431,166.5
702,16,71,480.643,-203.4999
703,16,72,480.643,203.4999
704,16,73,480.6429,-240.4999
705,16,74,480.6429,240.4999
706,16,75,480.6428,-277.4998
707,16,76,480.6428,277.4998
708,16,77,448.6,295.9998
709,16,78,416.5572,314.4998
710,16,79,384.5143,332.9997
711,16,80,352.4715,351.4997
712,16,81,320.4286,369.9996
713,16,82,288.3858,388.4995
714,16,83,256.3429,406.9995
715,16,84,224.3,425.4994
716,16,85,192.2571,443.9993
717,16,86,160.2143,462.4992
718,16,87,128.1714,480.9991
719,16,88,96.1285,499.499
